ingredient_code,ingredient_name,ingredient_slug,description
ING002374,Nhựa tổng hợp,nhua-tong-hop,
ING002375,Đồng,dong,
ING002376,Mangan,mangan,
ING002377,Magie,magie,
ING002378,Lưu huỳnh,luu-huynh,
ING002379,Selen,selen,
ING002380,Dung dịch đẳng trương,dung-dich-dang-truong,
ING002381,Vật liệu thép phẫu thuật công nghệ mạ Micro - bonded,vat-lieu-thep-phau-thuat-cong-nghe-ma-micro-bonded,
ING002382,Thanh nẹp nhựa tổng hợp,thanh-nep-nhua-tong-hop,
ING002383,Lưới siêu nhẹ và thoáng khí,luoi-sieu-nhe-va-thoang-khi,
ING002384,Pure Sodium Chloride,pure-sodium-chloride,
ING002385,Hệ đệm nguyên tố vi lượng,he-dem-nguyen-to-vi-luong,
ING002386,Băng gạc,bang-gac,
ING002387,Ống,ong,
ING002388,Ginger oil,ginger-oil,
ING002389,Nữ lang,nu-lang,
ING002390,Hoa bia,hoa-bia,
ING002391,Toan Táo Nhân,toan-tao-nhan,
ING002392,Dimyristoyl phosphatidylglycerol,dimyristoyl-phosphatidylglycerol,
ING002393,Dinatri Edetate,dinatri-edetate,
ING002394,Khóa Velcro,khoa-velcro,
ING002395,Nẹp hợp kim nhôm,nep-hop-kim-nhom,
ING002396,Sợi carbon cao cấp,soi-carbon-cao-cap, 
ING002397,Carbon,carbon,
ING002398,Lidocain HCl,lidocain-hcl,3mg
ING002399,Silicone hỗn hợp DC 7-0992,silicone-hon-hop-dc-7-0992,
ING002400,Acid Citric khan,acid-citric-khan,
ING002401,Muối biển tinh khiết,muoi-bien-tinh-khiet,
ING002402,Benzalkonium clorid,benzalkonium-clorid,
ING002403,Natri tetraborat decahydrat,natri-tetraborat-decahydrat,
ING002404,HPMC E6,hpmc-e6,
ING002405,Cinnamic aldehyde,cinnamic-aldehyde,
ING002406,Parafin,parafin,
ING002407,Ethanol 70%,ethanol-70percent,
ING002408,Kháng thể kháng β-hCG,khang-the-khang-b-hcg,0.5mg
ING002409,kháng thể kháng α -hCG,khang-the-khang-a-hcg,0.7mg
ING002410,kháng thể để kháng IgG chuột,khang-the-de-khang-igg-chuot,1.5mg
ING002411,Que thử đường huyết,que-thu-duong-huyet,
ING002412,Máy đo đường huyết,may-do-duong-huyet,
ING002413,Máy đo,may-do,
ING002414,Phiếu bảo hành,phieu-bao-hanh,
ING002415,Hướng dẫn sử dụng,huong-dan-su-dung,
ING002416,Pin AAA,pin-aaa,
ING002417,Nhiệt kế,nhiet-ke,
ING002418,Túi hơi,tui-hoi,
ING002419,Adapter,adapter,
ING002420,Pin AA,pin-aa,
ING002421,Glucose Oxidase,glucose-oxidase,20iu
ING002422,Men glucose oxidase(GOD),men-glucose-oxidasegod,
ING002423,Đầu kim bằng kim loại tiệt trùng,dau-kim-bang-kim-loai-tiet-trung,
ING002424,Butane/propane,butanepropane,
ING002425,Xuyên ô,xuyen-o,
ING002426,Sói rừng,soi-rung,
ING002427,Quế nhục,que-nhuc,
ING002428,Mã tiền,ma-tien,
ING002429,Ngưu tất,nguu-tat,
ING002430,Methy salicylat,methy-salicylat,
ING002431,Phụ tử,phu-tu,
ING002432,Cao Quế chi,cao-que-chi,
ING002433,Capsicum extract,capsicum-extract,
ING002434,Xuyên khung,xuyen-khung,
ING002435,Cỏ nhọ nồi,co-nho-noi,
ING002436,Kẽm – Hyaluronate,kem-hyaluronate,
ING002437,Polyvinyl Clorua,polyvinyl-clorua,
ING002438,Acrylic,acrylic,
ING002439,MA Decadiene Crosspolymer,ma-decadiene-crosspolymer,
ING002440,Sợi vải co giãn Viscose 70%,soi-vai-co-gian-viscose-70percent,70%
ING002441,Benzalkonium,benzalkonium,
ING002442,Dung dịch cồn isopropyl,dung-dich-con-isopropyl,70%
ING002443,Cao Khổ sâm,cao-kho-sam,
ING002444,Dừa cạn,dua-can,
ING002445,Bạch hạc,bach-hac,
ING002446,Metallic silver,metallic-silver,
ING002447,Hyaluronic acid sodium salt,hyaluronic-acid-sodium-salt,
ING002448,Acid blue,acid-blue, 
ING002449,Rayon,rayon,80%
ING002450,Vải không dệt PET,vai-khong-det-pet,
ING002451,Ethylene oxide (E.O Gas),ethylene-oxide-eo-gas,
ING002452,PET 20%,pet-20percent,
ING002453,vải không dệt Non-woven fabric,vai-khong-det-non-woven-fabric,
ING002454,Lá Lấu,la-lau,
ING002455,Xoan trà,xoan-tra,
ING002456,Dầu Vừng,dau-vung,
ING002457,Tween 80,tween-80,
ING002458,Dầu Mêtyla Salitylat,dau-metyla-salitylat,
ING002459,Oải hương (Hoa),oai-huong-hoa,
ING002460,Dầu bạc hà,dau-bac-ha,
ING002461,Hương hoa,huong-hoa,
ING002462,Dầu lộc đề,dau-loc-de,
ING002463,Silver sulfadiazine,silver-sulfadiazine,
ING002464,Gel nước mát lạnh,gel-nuoc-mat-lanh,100%
ING002465,Hydrated aluminium,hydrated-aluminium,
ING002466,Titaniumoxide,titaniumoxide,
ING002467,Polyacrylic acid,polyacrylic-acid,
ING002468,Carnosine,carnosine,
ING002469,Carbomer dạng keo có tính axit,carbomer-dang-keo-co-tinh-axit,
ING002470,Permethrin,permethrin,5%
ING002471,Eucaliptol,eucaliptol,
ING002472,Gạc hút nước,gac-hut-nuoc,
ING002473,Vải lụa,vai-lua,
ING002474,Keo dán,keo-dan,
ING002475,Acyline,acyline,
ING002476,Giấy không dệt (Non-woven paper),giay-khong-det-non-woven-paper,
ING002477,PG,pg,
ING002478,Axit linoleic,axit-linoleic,
ING002479,Nước hoa hồi,nuoc-hoa-hoi,
ING002480,Macrogol 300,macrogol-300,46%
ING002481,Manitol,manitol,
ING002482,Acid acetic,acid-acetic,
ING002483,Saccharin sodium,saccharin-sodium,
ING002484,Cremophor RH40,cremophor-rh40,
ING002485,Riboflavin sodium phosphate,riboflavin-sodium-phosphate,
ING002486,Betadine,betadine,01.%
ING002487,Polyhexanide,polyhexanide,0.1%
ING002488,Vải không dệt đã tiệt trùng,vai-khong-det-da-tiet-trung,
ING002489,Cồn,con, 
ING002490,Acid Mineral,acid-mineral, 
ING002491,Acid Carboxylics,acid-carboxylics, 
ING002492,Polysiloxane,polysiloxane, 
ING002493,cao su silicon,cao-su-silicon,
ING002494,Vermiculite,vermiculite,
ING002495,Than hoạt tính,than-hoat-tinh,
ING002496,Natri borat,natri-borat,600mg
ING002497,Iota-carrageenan,iota-carrageenan,150mg
ING002498,Keo nóng chảy y tế,keo-nong-chay-y-te,
ING002499,Bột ceramic hồng ngoại xa,bot-ceramic-hong-ngoai-xa,
ING002500,Mỡ khoáng,mo-khoang,
ING002501,Sodium carboxymethylcellulose,sodium-carboxymethylcellulose,
ING002502,L-Arginine,l-arginine,
ING002503,Acetylcysteine,acetylcysteine,
ING002504,Cetrimid,cetrimid,
ING002505,Glycyrrhetic Acid,glycyrrhetic-acid,
ING002506,Vitis vinifera seed,vitis-vinifera-seed,
ING002507,Propyl Gallate,propyl-gallate,
ING002508,Tá dược dung dịch Benzalkonium chlorid 50%,ta-duoc-dung-dich-benzalkonium-chlorid-50percent,
ING002509,Borax,borax,
ING002510,Polyethylene glycol 400,polyethylene-glycol-400,
ING002511,cthoxydiglycol,cthoxydiglycol,
ING002512,Peg-5 rapeseed sterol,peg-5-rapeseed-sterol,
ING002513,Adelmidrol,adelmidrol,
ING002514,capsicum fruttescens extract,capsicum-fruttescens-extract,
ING002515,"2-Bromo-2-nitropropane-1,3-diol",2-bromo-2-nitropropane-13-diol,
ING002516,Vải không dệt PP,vai-khong-det-pp,
ING002517,Vải bông,vai-bong,
ING002518,giấy kháng khuẩn MELTBLOWN,giay-khang-khuan-meltblown,
ING002519,Thanh nẹp mũi bằng nhựa,thanh-nep-mui-bang-nhua,
ING002520,Dây đeo có tính đàn hồi,day-deo-co-tinh-dan-hoi,
ING002521,Quai thun,quai-thun,
ING002522,Màng lọc kháng khuẩn,mang-loc-khang-khuan,
ING002523,Lớp lọc,lop-loc,
ING002524,Vải kháng khuẩn SMS,vai-khang-khuan-sms,
ING002525,Thun đeo cấu tạo từ Polyester và Spandex,thun-deo-cau-tao-tu-polyester-va-spandex,
ING002526,Lớp vi lọc thấu khí PP,lop-vi-loc-thau-khi-pp,
ING002527,màng lọc thô vải không dệt,mang-loc-tho-vai-khong-det,
ING002528,"màng lọc Micro Filter, N95",mang-loc-micro-filter-n95,
ING002529,vải không dệt than hoạt tính,vai-khong-det-than-hoat-tinh,
ING002530,Nẹp định hình bằng nhựa,nep-dinh-hinh-bang-nhua,
ING002531,màng lọc Micro filter,mang-loc-micro-filter,
ING002532,Thun đeo tai,thun-deo-tai,
ING002533,Mebendazol,mebendazol,500mg
ING002534,Aciclovir,aciclovir,0.25g
ING002535,Excipients q.s,excipients-qs,5g
ING002536,Mebendazole,mebendazole,500mg
ING002537,Nystatin,nystatin,25000iu
ING002538,Albendazol,albendazol,400mg
ING002539,Clotrimazole,clotrimazole,500mg
ING002540,Clobetasol propionate,clobetasol-propionate,0.5mg
ING002541,Ciclopiroxolamine,ciclopiroxolamine,100mg
ING002542,Ciclopirox,ciclopirox,1g
ING002543,Mangiferin,mangiferin,250mg
ING002544,Acyclovir,acyclovir,50mg
ING002545,Fluconazole,fluconazole,150mg
ING002546,Cefixim,cefixim,100mg
ING002547,Clavulanic acid,clavulanic-acid,125mg
ING002548,Amoxicilina,amoxicilina,500mg
ING002549,Levofloxacin,levofloxacin,500mg
ING002550,Amoxicillin,amoxicillin,875mg
ING002551,Cefuroxim,cefuroxim,500mg
ING002552,Cefuroxime,cefuroxime,250mg
ING002553,Azithromycin,azithromycin,500mg
ING002554,Ivermectin,ivermectin,6mg
ING002555,Cefdinir,cefdinir,300mg
ING002556,Metronidazole,metronidazole,125mg
ING002557,Spiramycin,spiramycin,750000iu
ING002558,Cefpodoxim,cefpodoxim,200mg
ING002559,Fluconazol,fluconazol,150mg
ING002560,Amoxicilin,amoxicilin,250mg
ING002561,Acid Clavulanic,acid-clavulanic,62.5mg
ING002562,Sulbactam,sulbactam,250mg
ING002563,Tenofovir disoproxil fumarat,tenofovir-disoproxil-fumarat,300mg
ING002564,Sulfamethoxazole,sulfamethoxazole,400mg
ING002565,Trimethoprim,trimethoprim,80mg
ING002566,Griseofulvin,griseofulvin,500mg
ING002567,Azithromycine,azithromycine,500mg
ING002568,Itraconazole,itraconazole,100mg
ING002569,Tinidazole,tinidazole,500mg
ING002570,Tetracycline,tetracycline,500mg
ING002571,Cefprozil,cefprozil,500mg
ING002572,Clarithromycin,clarithromycin,125mg
ING002573,Entecavir,entecavir,0.5mg
ING002574,Doxycycline,doxycycline,100mg
ING002575,Clindamycin,clindamycin,300mg
ING002576,Ciprofloxacin,ciprofloxacin,500mg
ING002577,Kháng Thể Gắn Với Interferon Gamma,khang-the-gan-voi-interferon-gamma,3mg
ING002578,Ampicillin,ampicillin,500mg
ING002579,Acetyl Spiramycin,acetyl-spiramycin,100mg
ING002580,Tetracyclin,tetracyclin,1%
ING002581,Tenofovir alafenamide,tenofovir-alafenamide,25mg
ING002582,Cefixime,cefixime,100mg
ING002583,Metronidazol,metronidazol,250mg
ING002584,Oseltamivir,oseltamivir,75mg
ING002585,Fosfomycin calcium hydrate,fosfomycin-calcium-hydrate,500mg
ING002586,Linezolid,linezolid,600mg
ING002587,Cephalexin,cephalexin,500mg
ING002588,Ornidazole,ornidazole,500mg
ING002589,Hydroxychloroquine sulfate,hydroxychloroquine-sulfate,200mg
ING002590,Cefpodoxime,cefpodoxime,200mg
ING002591,Lamivudin,lamivudin,100mg
ING002592,Cefaclor,cefaclor,375mg
ING002593,Cefotaxim,cefotaxim,1g
ING002594,Moxifloxacin,moxifloxacin,400mg
ING002595,Esomeprazol,esomeprazol,20mg
ING002596,Cefditoren,cefditoren,400mg
ING002597,Ceftibuten,ceftibuten,200mg
ING002598,Molnupiravir,molnupiravir,400mg
ING002599,Minocycline,minocycline,50mg
ING002600,Sultamicillin,sultamicillin,750mg
ING002601,Tenofovir disoprosil fumarat,tenofovir-disoprosil-fumarat,300mg
ING002602,Roxithromycin,roxithromycin,150mg
ING002603,Pyrazinamide,pyrazinamide,500mg
ING002604,Penicillin V,penicillin-v,1.000.000iu
ING002605,Benzylpenicilin natri,benzylpenicilin-natri,1000000iu
ING002606,Ofloxacin,ofloxacin,200mg
ING002607,Isoniazid,isoniazid,150mg
ING002608,Lincomycin,lincomycin,500mg
ING002609,Tenofovir disoproxil fumarate,tenofovir-disoproxil-fumarate,300mg
ING002610,Oxacillin,oxacillin,500mg
ING002611,Ethambutol,ethambutol,400mg
ING002612,Erythromycin,erythromycin,500mg
ING002613,Cefradine,cefradine,500mg
ING002614,Praziquantel,praziquantel,600mg
ING002615,Cefadroxil,cefadroxil,500mg
ING002616,Triclabendazole,triclabendazole,250mg
ING002617,Rifampicin,rifampicin,300mg
ING002618,Streptomycin,streptomycin,1g
ING002619,Sulfametoxazol,sulfametoxazol,400mg
ING002620,Lamivudine,lamivudine,100mg
ING002621,Tenofovir disoproxil,tenofovir-disoproxil,245mg
ING002622,Diiodohydroxyquinoline,diiodohydroxyquinoline,210mg
ING002623,chất ly giải vi khuẩn đông khô,chat-ly-giai-vi-khuan-dong-kho,50mg
ING002624,Ceftriaxon,ceftriaxon,1000mg
ING002625,Neomycin sulfat,neomycin-sulfat,65000iu
ING002626,Norfloxacin,norfloxacin,400mg
ING002627,Sofosbuvir,sofosbuvir,400mg
ING002628,Velpatasvir,velpatasvir,100mg
ING002629,Terbinafine,terbinafine,250mg
ING002630,Amoxycillin,amoxycillin,875mg
ING002631,Lopinavir,lopinavir,200mg
ING002632,Ritonavir,ritonavir,50mg
ING002633,Efavirenz,efavirenz,600mg
ING002634,Chloroquine,chloroquine,250mg
ING002635,Thiabendazole,thiabendazole,500mg
ING002636,Albendazole,albendazole,400mg
ING002637,Nystatine,nystatine,500.000iu
ING002638,Levofloxacine,levofloxacine,250mg
ING002639,Isavuconazole,isavuconazole,100mg
ING002640,Caspofungin,caspofungin,50mg
ING002641,Daclatasvir,daclatasvir,60mg
ING002642,Ceftazidim,ceftazidim,1g
ING002643,Fosfomycin sodium,fosfomycin-sodium,1g
ING002644,Acid fusidic,acid-fusidic,200mg
ING002645,Tetracyclin hydrochlorid,tetracyclin-hydrochlorid,500mg
ING002646,Ceftriaxone,ceftriaxone,1
ING002647,Quinin sulfat,quinin-sulfat,250mg
ING002648,Penicilin,penicilin,4000000iu
ING002649,Peginterferon alfa-2a,peginterferon-alfa-2a,180mcg
ING002650,Zidovudine,zidovudine,300mg
ING002651,Secnidazole,secnidazole,500mg
ING002652,Chloramphenicol,chloramphenicol,250mg
ING002653,Efavirenzum,efavirenzum,600mg
ING002654,Emtricitabin,emtricitabin,200mg
ING002655,Cefalexin,cefalexin,500mg
ING002656,Neomycin,neomycin,65000IU
ING002657,Nistatina,nistatina,100000IU
ING002658,Dolutegravir,dolutegravir,50mg
ING002659,Ribavirin,ribavirin,500mg
ING002660,Minocyclin,minocyclin,100mg
ING002661,Esomeprazole,esomeprazole,40mg
ING002662,Fusidic Acid,fusidic-acid,2%
ING002663,Clotrimazol,clotrimazol,1%
ING002664,Ciprofloxacine,ciprofloxacine,500mg
ING002665,Nalidixic acid,nalidixic-acid,500mg
ING002666,Acitretin,acitretin,25mg
ING002667,Vancomycin,vancomycin,500mg
ING002668,Tamoxifen,tamoxifen,20mg
ING002669,Eltrombopag,eltrombopag,25mg
ING002670,Goserelin,goserelin,3.6mg
ING002671,Letrozole,letrozole,2.5mg
ING002672,Bicalutamide,bicalutamide,50mg
ING002673,Anastrozole,anastrozole,1mg
ING002674,Capecitabin,capecitabin,500mg
ING002675,Abiraterone acetate,abiraterone-acetate,250mg
ING002676,Durvalumab,durvalumab,500mg
ING002677,Avelumab,avelumab,200mg
ING002678,Imatinib,imatinib,100mg
ING002679,Trifluridine,trifluridine,20mg
ING002680,Tipiracil,tipiracil,8.19mg
ING002681,Bevacizumab,bevacizumab,100mg
ING002682,Denosumab,denosumab,120mg
ING002683,Enzalutamide,enzalutamide,40mg
ING002684,Ixazomib,ixazomib,4mg
ING002685,Temozolomid,temozolomid,50mg
ING002686,Triptorelin,triptorelin,3.75mg
ING002687,Osimertinib,osimertinib,40mg
ING002688,Octreotide,octreotide,30mg
ING002689,Palbociclib,palbociclib,100mg
ING002690,Acalabrutinib,acalabrutinib,100mg
ING002691,Nintedanib,nintedanib,100mg
ING002692,Ruxolitinib,ruxolitinib,20mg
ING002693,Pemetrexed,pemetrexed,100mg
ING002694,Ibrutinib,ibrutinib,140mg
ING002695,Trastuzumab,trastuzumab,600mg
ING002696,Everolimus,everolimus,0.5mg
ING002697,Afatinib,afatinib,30mg
ING002698,Erlotinib,erlotinib,150mg
ING002699,Thalidomide,thalidomide,50mg
ING002700,Eribulin,eribulin,1mg
ING002701,Doxorubicin,doxorubicin,2mg
ING002702,Decitabine,decitabine,50mg
ING002703,Azacitidine,azacitidine,100mg
ING002704,Cetuximab,cetuximab,5mg
ING002705,Nilotinib,nilotinib,200mg
ING002706,Ribociclib,ribociclib,200mg
ING002707,Fulvestrant,fulvestrant,50mg
ING002708,Rituximab,rituximab,500mg
ING002709,Bendamustine hydrochloride,bendamustine-hydrochloride,100mg
ING002710,Gefitinib,gefitinib,250mg
ING002711,Daratumumab,daratumumab,20mg
ING002712,Regorafenib,regorafenib,40mg
ING002713,Obinutuzumab,obinutuzumab,1000mg
ING002714,Brentuximab vedotin,brentuximab-vedotin,50mg
ING002715,Pazopanib,pazopanib,200mg
ING002716,Pertuzumab,pertuzumab,420mg
ING002717,Atezolizumab,atezolizumab,1200mg
ING002718,Tegafur,tegafur,25mg
ING002719,Gimeracil,gimeracil,7.25mg
ING002720,Oteracil kali,oteracil-kali,24.5mg
ING002721,Ceritinib,ceritinib,150mg
ING002722,Sorafenib,sorafenib,200mg
ING002723,Alectinib,alectinib,150mg
ING002724,Olaparib,olaparib,150mg
ING002725,Exemestane,exemestane,25mg
ING002726,Pembrolizumab,pembrolizumab,100mg
ING002727,Lenvatinib,lenvatinib,4mg
ING002728,Thục địa,thuc-dia,1.5g
ING002729,Ích mẫu,ich-mau,1.5g
ING002730,Ngưu tất (Rễ),nguu-tat-re,1.5g
ING002731,Xích thược,xich-thuoc,0.75g
ING002732,đậu tương lên men,dau-tuong-len-men,83mg
ING002733,Rễ đinh lăng,re-dinh-lang,200mg
ING002734,Diosmin,diosmin,450mg
ING002735,Hesperidin,hesperidin,50mg
ING002736,N-Acetyl-​DL-Leucin,n-acetyl-dl-leucin,500mg
ING002737,Cao khô lá Bạch quả,cao-kho-la-bach-qua,100mg
ING002738,Ginkgo biloba,ginkgo-biloba,80mg
ING002739,Acetylleucine,acetylleucine,500mg
ING002740,Rutin,rutin,50mg
ING002741,Ginkgo biloba leaf extract dry concentrate,ginkgo-biloba-leaf-extract-dry-concentrate,120mg
ING002742,Kali aspartat khan,kali-aspartat-khan,158mg
ING002743,Orlistat,orlistat,120mg
ING002744,Cao ginkgo billoba,cao-ginkgo-billoba,40mg
ING002745,Ubidecarenone,ubidecarenone,30mg
ING002746,D-alpha tocopherol,d-alpha-tocopherol,6.71mg
ING002747,Eicosapentaenoic acid,eicosapentaenoic-acid,60mg
ING002748,Docosahexaenoic acid,docosahexaenoic-acid,260mg
ING002749,Omega 3,omega-3,1g
ING002750,Sài Hồ,sai-ho,0.4g
ING002751,Thăng ma,thang-ma,0.4g
ING002752,Đảng Sâm,dang-sam,0.7g
ING002753,Thanh bì,thanh-bi,0.4g
ING002754,Ý Dĩ,y-di,0.4g
ING002755,Sen,sen,0.4g
ING002756,Bạch truật,bach-truat,0.4g
ING002757,N-Acetyl-dl-leucin,n-acetyl-dl-leucin,500mg
ING002758,Sắt protein Succinnylate,sat-protein-succinnylate,800mg
ING002759,Sắt protein succinylate,sat-protein-succinylate,800mg
ING002760,Acid folic,acid-folic,0.8mg
ING002761,Sắt sulfat,sat-sulfat,114mg
ING002762,Sắt (III) hydroxyd polymaltose,sat-iii-hydroxyd-polymaltose,100mg
ING002763,Táo Nhân,tao-nhan,133.3mg
ING002764,Mạch môn,mach-mon,133.3mg
ING002765,Thiên môn đông,thien-mon-dong,133.3mg
ING002766,Bá tử nhân,ba-tu-nhan,133.3mg
ING002767,Huyền sâm,huyen-sam,66.7mg
ING002768,Viễn chí,vien-chi,66.7mg
ING002769,Ngũ vị tử,ngu-vi-tu,66.7mg
ING002770,Đan sâm,dan-sam,46.7mg
ING002771,Phục thần,phuc-than,46.7mg
ING002772,Cát cánh,cat-canh,26.7mg
ING002773,Bạch thược,bach-thuoc,240mg
ING002774,Xương bồ,xuong-bo,120mg
ING002775,Aesculus hippocastanum L.,aesculus-hippocastanum-l,50mg
ING002776,Cao khô hạt dẻ ngựa,cao-kho-hat-de-ngua,263.2mg
ING002777,Cao bạch quả,cao-bach-qua,80mg
ING002778,Cinnarizine,cinnarizine,25mg
ING002779,Cao khô Bacopa monnieri,cao-kho-bacopa-monnieri,150mg
ING002780,Đại táo,dai-tao,70mg
ING002781,Sinh khương,sinh-khuong,30mg
ING002782,Đinh lăng khô,dinh-lang-kho,750mg
ING002783,Piracetam,piracetam,200mg
ING002784,Đào nhân,dao-nhan,70mg
ING002785,Địa long,dia-long,160mg
ING002786,Địa du,dia-du,500mg
ING002787,Chỉ xác,chi-xac,500mg
ING002788,Phòng phong,phong-phong,500mg
ING002789,Tỏi,toi,462mg
ING002790,Saponin toàn phần chiết xuất từ lá tam thất,saponin-toan-phan-chiet-xuat-tu-la-tam-that,100mg
ING002791,Alimemazin tartrat,alimemazin-tartrat,5mg
ING002792,cao hỗn hợp dược liệu,cao-hon-hop-duoc-lieu,240mg
ING002793,Cao khô lá Ginkgo biloba,cao-kho-la-ginkgo-biloba,80mg
ING002794,Fe,fe,150mg
ING002795,Sulbutiamine,sulbutiamine,200mg
ING002796,Ferrous gluconate,ferrous-gluconate,200mg
ING002797,Clopidogrel,clopidogrel,75mg
ING002798,Rosuvastatin,rosuvastatin,10mg
ING002799,Valsartan,valsartan,80mg
ING002800,Telmisartan,telmisartan,40mg
ING002801,Amlodipine,amlodipine,5mg
ING002802,Bisoprolol,bisoprolol,5mg
ING002803,Losartan,losartan,25mg
ING002804,Losartan kali,losartan-kali,50mg
ING002805,Propranolol hydrochlorid,propranolol-hydrochlorid,40mg
ING002806,Hydrochlorothiazide,hydrochlorothiazide,12.5mg
ING002807,Tô mộc,to-moc,160mg
ING002808,Atorvastatin,atorvastatin,10mg
ING002809,Enalapril,enalapril,5mg
ING002810,Apixaban,apixaban,5mg
ING002811,Losartan Potassium,losartan-potassium,50mg
ING002812,Trimetazidine,trimetazidine,80mg
ING002813,Cholin alfoscerat,cholin-alfoscerat,400mg
ING002814,Cytidin monophosphat disodium,cytidin-monophosphat-disodium,5mg
ING002815,Uridin monophosphat disodium,uridin-monophosphat-disodium,3mg
ING002816,Lisinopril,lisinopril,10mg
ING002817,Ticagrelor,ticagrelor,90mg
ING002818,Rivaroxaban,rivaroxaban,20mg
ING002819,Trimetazidine dihydrochloride,trimetazidine-dihydrochloride,35mg
ING002820,Felodipine,felodipine,5mg
ING002821,Metoprolol,metoprolol,47.5mg
ING002822,Nifedipine,nifedipine,20mg
ING002823,Nebivolol,nebivolol,5mg
ING002824,Indapamide,indapamide,1.5mg
ING002825,Fenofibrate,fenofibrate,200mg
ING002826,Fenofibrat,fenofibrat,145mg
ING002827,Irbesartan,irbesartan,150mg
ING002828,Ezetimibe,ezetimibe,10mg
ING002829,Acetylsalicylic acid,acetylsalicylic-acid,100mg
ING002830,Diltiazem hydroclorid,diltiazem-hydroclorid,60mg
ING002831,Perindopril,perindopril,5mg
ING002832,Perindopril arginine,perindopril-arginine,5mg
ING002833,Natri Camphosulfonat,natri-camphosulfonat,2.5mg
ING002834,Cao lạc tiên,cao-lac-tien,5mg
ING002835,Betahistine,betahistine,24mg
ING002836,Metoprolol succinat,metoprolol-succinat,47.5mg
ING002837,Candesartan,candesartan,8mg
ING002838,Digoxin,digoxin,0.25mg
ING002839,Methyldopa,methyldopa,250mg
ING002840,Sacubitril,sacubitril,48.6mg
ING002841,Acenocoumarol,acenocoumarol,1mg
ING002842,Losartan kaki,losartan-kaki,25mg
ING002843,Magnesi lactat dihydrat,magnesi-lactat-dihydrat,470mg
ING002844,Lovastatin,lovastatin,20mg
ING002845,Aescin,aescin,40mg
ING002846,Bisoprolol fumarat,bisoprolol-fumarat,2.5mg
ING002847,Ivabradine,ivabradine,5mg
ING002848,Simvastatin,simvastatin,20mg
ING002849,panax notoginseng saponins,panax-notoginseng-saponins,100mg
ING002850,Isosorbide-5-mononitrate,isosorbide-5-mononitrate,60mg
ING002851,Cao chiết lá bạch quả,cao-chiet-la-bach-qua,120mg
ING002852,Magne glutamate hydrobromide,magne-glutamate-hydrobromide,100mg
ING002853,GABA,gaba,100mg
ING002854,GABOB,gabob,50mg
ING002855,Amiodarone,amiodarone,200mg
ING002856,Vinpocetine,vinpocetine,10mg
ING002857,Captopril,captopril,25mg
ING002858,Isosorbid dinitrat,isosorbid-dinitrat,10mg
ING002859,Metoprolol tartrate,metoprolol-tartrate,50mg
ING002860,Carvedilol,carvedilol,6.25mg
ING002861,Atenolol,atenolol,50mg
ING002862,Nicorandil,nicorandil,5mg
ING002863,Trimetazidin dihydroclorid,trimetazidin-dihydroclorid,35mg
ING002864,Candesartan cilexetil,candesartan-cilexetil,8mg
ING002865,Hydroclorothiazid,hydroclorothiazid,12.5mg
ING002866,Betahistine Dihydrocloride,betahistine-dihydrocloride,16mg
ING002867,Ranolazine,ranolazine,375mg
ING002868,Hydrochlorothiazid,hydrochlorothiazid,12.5mg
ING002869,Doxazosin,doxazosin,2mg
ING002870,Verapamil hydrochloride,verapamil-hydrochloride,40mg
ING002871,Pitavastatin calci,pitavastatin-calci,2mg
ING002872,Perindopril tert-butylamin,perindopril-tert-butylamin,8mg
ING002873,Ivabradin,ivabradin,5mg
ING002874,Omega-3-acid ethyl esters,omega-3-acid-ethyl-esters,1000mg
ING002875,Gliclazide,gliclazide,80mg
ING002876,Spironolactone,spironolactone,25mg
ING002877,Edoxaban,edoxaban,30mg
ING002878,Enoxaparin natri,enoxaparin-natri,40mg
ING002879,Pitavastatin,pitavastatin,4mg
ING002880,Furosemid,furosemid,40mg
ING002881,Iron protein succinylate,iron-protein-succinylate,40mg
ING002882,Pravastatin natri,pravastatin-natri,20mg
ING002883,Lercanidipin hydroclorid,lercanidipin-hydroclorid,10mg
ING002884,Vincamine,vincamine,20mg
ING002885,Fluvastatin,fluvastatin,40mg
ING002886,Ramipril,ramipril,2.5mg
ING002887,Nicergolin,nicergolin,30mg
ING002888,Isosorbid-5-mononitrat,isosorbid-5-mononitrat,60mg
ING002889,Imidapril,imidapril,5mg
ING002890,Lercanidipine,lercanidipine,10mg
ING002891,Bezafibrate,bezafibrate,200mg
ING002892,Acid Tranexamic,acid-tranexamic,250mg
ING002893,Nicergoline,nicergoline,10mg
ING002894,Epoetin beta,epoetin-beta,2000iu
ING002895,Dabigatran etexilate,dabigatran-etexilate,150mg
ING002896,Cilostazol,cilostazol,100mg
ING002897,Aspirin,aspirin,75mg
ING002898,Perindopril erbumin,perindopril-erbumin,4mg
ING002899,Nikethamid,nikethamid,125mg
ING002900,Lacidipine,lacidipine,4mg
ING002901,Heptaminol,heptaminol,187.8mg
ING002902,Fenofibrat micronised,fenofibrat-micronised,160mg
ING002903,Heptaminol chlorhydrate,heptaminol-chlorhydrate,300mg
ING002904,Panax notoginseng root,panax-notoginseng-root,70mg
ING002905,Salviae Miltiorrhizae Radix,salviae-miltiorrhizae-radix,100mg
ING002906,Dinatri adenosin triphosphat,dinatri-adenosin-triphosphat,20mg
ING002907,Bosentan,bosentan,62.5mg
